"site";"year";"month";"day";"drone_model";"N_pictures";"acquiStart_yy_mm_dd";"acquiStart_hh_mm_ss";"acquiEnd_yy_mm_dd";"acquiEnd_hh_mm_ss";"totalSize_Go"
"Bouamir";2022;3;26;"DJI Mavic 2 Pro";578;"2022:03:26";"14:28:36";"2022:03:26";"16:10:06";6.78
"Bouamir";2022;4;27;"DJI Mavic 2 Pro";705;"2022:04:27";"09:42:58";"2022:04:27";"15:08:11";8.67
"Bouamir";2022;5;11;"DJI Mavic 2 Pro";780;"2022:05:11";"09:01:46";"2022:05:11";"10:58:53";9.58
"Bouamir";2022;5;25;"DJI Mavic 2 Pro";622;"2022:05:25";"12:22:16";"2022:05:25";"15:01:39";7.71
"Bouamir";2022;6;10;"DJI Mavic 2 Pro";536;"2022:06:10";"10:20:57";"2022:06:10";"12:00:55";6.34
"Bouamir";2022;6;24;"DJI Mavic 2 Pro";708;"2022:06:24";"14:27:01";"2022:06:24";"17:14:36";8.74
"Bouamir";2022;7;8;"DJI Mavic 2 Pro";606;"2022:07:08";"09:03:15";"2022:07:08";"10:37:43";5.75
"Bouamir";2022;7;23;"DJI Mavic 2 Pro";629;"2022:07:23";"09:25:21";"2022:07:23";"15:07:23";6.52
"Bouamir";2022;8;6;"DJI Mavic 2 Pro";573;"2022:08:06";"09:39:52";"2022:08:06";"11:32:14";6.19
"Bouamir";2022;8;24;"DJI Mavic 2 Pro";725;"2022:07:23";"14:27:32";"2022:08:24";"16:05:20";8.57
"Bouamir";2022;9;11;"DJI Mavic 2 Pro";558;"2022:09:11";"09:37:35";"2022:09:11";"11:10:03";6.97
"Bouamir";2022;9;25;"DJI Mavic 2 Pro";1052;"2022:09:25";"09:21:57";"2022:09:25";"11:34:47";11.01
"Bouamir";2022;10;11;"DJI Mavic 2 Pro";752;"2022:10:11";"09:06:29";"2022:10:11";"10:46:45";9.24
"Bouamir";2022;10;24;"DJI Mavic 2 Pro";731;"2022:10:24";"08:54:20";"2022:10:24";"12:12:34";9.13
"Bouamir";2022;11;5;"DJI Mavic 2 Pro";560;"2022:11:05";"14:40:56";"2022:11:05";"16:29:49";6.72
"Bouamir";2022;11;21;"DJI Mavic 2 Pro";512;"2022:11:21";"09:21:05";"2022:11:21";"11:36:16";6.3
"Bouamir";2022;12;6;"DJI Mavic 2 Pro";512;"2022:12:06";"14:14:20";"2022:12:06";"16:32:21";6.17
"Bouamir";2022;12;20;"DJI Mavic 2 Pro";762;"2022:12:20";"10:13:33";"2022:12:20";"11:49:18";9.21
"Bouamir";2023;1;5;"DJI Mavic 2 Pro";576;"2023:01:05";"09:28:47";"2023:01:05";"11:04:47";6.26
"Bouamir";2023;1;20;"DJI Mavic 2 Pro";594;"2023:01:20";"14:09:00";"2023:01:20";"15:54:22";6.89
"Bouamir";2023;2;6;"DJI Mavic 2 Pro";788;"2023:02:06";"10:11:38";"2023:02:06";"11:47:01";9.5
"Bouamir";2023;2;20;"DJI Mavic 2 Pro";791;"2023:02:20";"09:29:00";"2023:02:20";"11:15:07";8.12
"Bouamir";2023;3;5;"DJI Mavic 2 Pro";794;"2023:03:05";"14:44:30";"2023:03:05";"16:31:46";8.73
"Bouamir";2023;3;22;"DJI Mavic 2 Pro";793;"2023:03:22";"09:08:44";"2023:03:22";"11:04:24";9.43
"Bouamir";2023;4;5;"DJI Mavic 2 Pro";559;"2023:04:05";"09:06:51";"2023:04:20";"15:47:11";7.45
"Bouamir";2023;4;20;"DJI Mavic 2 Pro";552;"2023:04:20";"14:25:11";"2023:04:20";"16:03:33";6.97
"Bouamir";2023;5;6;"DJI Mavic 2 Pro";854;"2023:05:05";"11:06:45";"2023:05:06";"14:04:21";10.72
"Bouamir";2023;5;30;"DJI Mavic 2 Pro";1064;"2023:05:30";"09:00:31";"2023:05:30";"10:33:01";12.97
"Bouamir";2023;6;5;"DJI Mavic 2 Pro";490;"2023:06:05";"14:06:50";"2023:06:05";"15:33:14";6.3
"Bouamir";2023;6;20;"DJI Mavic 2 Pro";574;"2023:06:20";"09:13:05";"2023:06:20";"11:01:19";7.08
"Bouamir";2023;7;6;"DJI Mavic 2 Pro";465;"2023:07:06";"09:04:09";"2023:07:06";"10:26:26";5.57
"Bouamir";2023;7;20;"DJI Mavic 2 Pro";510;"2023:07:20";"09:46:01";"2023:07:20";"11:08:51";6.22
"Bouamir";2023;8;5;"DJI Mavic 2 Pro";510;"2023:08:05";"14:12:05";"2023:08:05";"15:35:01";6.37
"Bouamir";2023;8;20;"DJI Mavic 2 Pro";509;"2023:08:20";"11:02:27";"2023:08:20";"12:25:36";6.62
"Bouamir";2023;9;5;"DJI Mavic 2 Pro";532;"2023:09:05";"10:16:43";"2023:09:05";"11:49:32";6.76
"Bouamir";2023;9;20;"DJI Mavic 2 Pro";509;"2023:09:20";"14:08:04";"2023:09:20";"15:29:47";6.72
"Bouamir";2023;10;5;"DJI Mavic 2 Pro";510;"2023:10:06";"10:03:08";"2023:10:06";"11:24:25";6.55
"Bouamir";2023;10;20;"DJI Mavic 2 Pro";531;"2023:10:20";"09:38:37";"2023:10:20";"11:01:20";6.77
"Bouamir";2023;11;5;"DJI Mavic 2 Pro";532;"2023:11:05";"10:39:42";"2023:11:05";"12:03:45";7
"Bouamir";2023;11;20;"DJI Mavic 2 Pro";532;"2023:11:20";"10:49:14";"2023:11:20";"12:09:32";6.94
"Bouamir";2023;12;5;"DJI Mavic 2 Pro";530;"2023:12:05";"09:52:39";"2023:12:05";"11:15:03";6.5
"Bouamir";2023;12;20;"DJI Mavic 2 Pro";532;"2023:12:20";"09:07:56";"2023:12:20";"10:29:01";5.73
"Bouamir";2024;1;5;"DJI Mavic 2 Pro";533;"2024:01:05";"10:23:10";"2024:01:05";"11:45:42";6.48
"Bouamir";2024;1;20;"DJI Mavic 2 Pro";425;"2024:01:20";"09:25:48";"2024:01:20";"10:46:46";4.79
"Bouamir";2024;2;5;"DJI Mavic 2 Pro";532;"2024:02:06";"09:09:16";"2024:02:06";"10:31:27";6.11
"Bouamir";2024;2;20;"DJI Mavic 2 Pro";532;"2024:02:20";"10:43:40";"2024:02:20";"12:04:42";5.65
"Bouamir";2024;3;5;"DJI Mavic 2 Pro";531;"2024:03:05";"14:07:04";"2024:03:05";"15:29:15";6.66
"Bouamir";2024;3;20;"DJI Mavic 2 Pro";531;"2024:03:20";"14:09:57";"2024:03:20";"15:32:18";6.32
"Bouamir";2024;4;5;"DJI Mavic 2 Pro";530;"2024:04:06";"09:39:05";"2024:04:06";"10:59:45";6.68
"Bouamir";2024;4;20;"DJI Mavic 2 Pro";530;"2024:04:20";"10:06:24";"2024:04:20";"11:53:23";7.06
"Bouamir";2024;5;5;"DJI Mavic 2 Pro";574;"2022:08:11";"14:28:52";"2022:08:11";"17:17:33";7.09
"Bouamir";2024;5;20;"DJI Mavic 2 Pro";520;"2024:05:21";"14:27:08";"2024:05:21";"16:48:21";4.13
"Bouamir";2024;6;5;"DJI Mavic 2 Pro";656;"2024:06:05";"15:19:34";"2024:06:05";"16:39:09";4.11
"Bouamir";2024;6;20;"DJI Mavic 2 Pro";532;"2024:06:21";"15:11:54";"2024:06:21";"17:29:52";1.78
"Bouamir";2024;7;5;"DJI Mavic 2 Pro";533;"2024:07:05";"12:59:59";"2024:07:05";"14:20:59";6.85
"Bouamir";2024;7;20;"DJI Mavic 2 Pro";531;"2024:07:22";"14:06:54";"2024:07:22";"15:27:44";6.69
"Bouamir";2024;8;5;"DJI Mavic 2 Pro";531;"2024:07:22";"14:06:54";"2024:07:22";"15:27:44";6.69
"Bouamir";2024;8;20;"DJI Mavic 2 Pro";476;"2022:08:23";"00:00:03";"2022:08:24";"23:59:58";5.46
"Bouamir";2024;9;5;"DJI Mavic 2 Pro";531;"2024:07:22";"14:06:54";"2024:07:22";"15:27:44";6.69
"Bouamir";2024;9;20;"DJI Mavic 2 Pro";407;"2022:09:15";"02:10:56";"2022:09:15";"03:16:04";5.14
"Bouamir";2024;10;5;"DJI Mavic 2 Pro";604;"2024:10:05";"09:51:21";"2024:10:05";"11:24:01";7.51
"Bouamir";2024;10;20;"DJI Mavic 2 Pro";530;"2024:10:20";"08:31:37";"2024:10:20";"09:59:17";6.44
"Bouamir";2024;11;5;"DJI Mavic 2 Pro";407;"2022:09:15";"02:10:56";"2022:09:15";"03:16:04";5.14
"Bouamir";2024;11;20;"DJI Mavic 2 Pro";476;"2022:08:23";"00:00:03";"2022:08:24";"23:59:58";5.46
"Bouamir";2024;12;5;"DJI Mavic 2 Pro";476;"2022:08:23";"00:00:03";"2022:08:24";"23:59:58";5.46
"Bouamir";2025;1;20;"DJI Mavic 2 Pro";475;"2025:01:25";"14:35:38";"2025:01:25";"16:04:34";5.55
"Bouamir";2025;2;5;"DJI Mavic 2 Pro";393;"2025:02:05";"09:21:32";"2025:02:05";"10:35:08";4.45
"Bouamir";2025;2;20;"DJI Mavic 2 Pro";299;"2025:02:20";"14:24:05";"2025:02:20";"15:19:45";3.27
"Bouamir";2025;3;5;"DJI Mavic 2 Pro";475;"2025:03:06";"09:59:07";"2025:03:06";"12:09:45";5.73
"Bouamir";2025;3;20;"DJI Mavic 2 Pro";499;"2025:03:20";"14:39:52";"2025:03:20";"17:45:08";5.69
"Bouamir";2025;4;5;"DJI Mavic 2 Pro";454;"2022:08:08";"10:03:40";"2022:08:08";"11:47:36";5.65
"Bouamir";2025;4;20;"DJI Mavic 2 Pro";499;"2025:03:20";"14:39:52";"2025:03:20";"17:45:08";5.69
"Bouamir";2025;5;5;"DJI Mavic 2 Pro";482;"2022:09:06";"15:05:50";"2022:09:06";"17:45:46";5.71
"Bouamir";2025;5;20;"DJI Mavic 2 Pro";802;"2025:05:22";"14:40:17";"2025:05:22";"16:38:52";9.04
"Bouamir";2025;6;5;"DJI Mavic 2 Pro";701;"2025:02:25";"19:32:43";"2025:02:25";"21:07:41";8.02
"Bouamir";2025;6;20;"DJI Mavic 2 Pro";615;"2025:06:20";"14:44:51";"2025:06:20";"17:01:15";6.96
