site;year;month;day;drone_model;N_pictures;acquiStart_hh_mm_ss;acquiEnd_hh_mm_ss;totalSize_Go;;;
Bouamir;2022;3;26;DJI Mavic 2 Pro;578;14_28_36;16_10_06;6.78;;;
Bouamir;2022;4;27;DJI Mavic 2 Pro;705;09_42_58;15_08_11;8.67;;;
Bouamir;2022;5;11;DJI Mavic 2 Pro;780;09_01_46;10_58_53;9.58;;;
Bouamir;2022;5;25;DJI Mavic 2 Pro;622;12_22_16;15_01_39;7.71;;;
Bouamir;2022;6;10;DJI Mavic 2 Pro;536;10_20_57;12_00_55;6.34;;;
Bouamir;2022;6;24;DJI Mavic 2 Pro;708;14_27_01;17_14_36;8.74;;;
Bouamir;2022;7;8;DJI Mavic 2 Pro;606;09_03_15;10_37_43;5.75;;;
Bouamir;2022;7;23;DJI Mavic 2 Pro;629;09_25_21;15_07_23;6.52;;;
Bouamir;2022;8;6;DJI Mavic 2 Pro;573;09_39_52;11_32_14;6.19;;;
Bouamir;2022;8;24;DJI Mavic 2 Pro;725;14_50_16;16_05_20;8.57;;;
Bouamir;2022;9;11;DJI Mavic 2 Pro;558;09_37_35;11_10_03;6.97;;;
Bouamir;2022;9;25;DJI Mavic 2 Pro;1052;09_21_57;11_34_47;11.01;;;
Bouamir;2022;10;11;DJI Mavic 2 Pro;752;09_06_29;10_46_45;9.24;;;
Bouamir;2022;10;24;DJI Mavic 2 Pro;731;08_54_20;12_12_34;9.13;;;
Bouamir;2022;11;5;DJI Mavic 2 Pro;560;14_40_56;16_29_49;6.72;;;
Bouamir;2022;11;21;DJI Mavic 2 Pro;512;09_21_05;11_36_16;6.3;;;
Bouamir;2022;12;6;DJI Mavic 2 Pro;512;14_14_20;16_32_21;6.17;;;
Bouamir;2022;12;20;DJI Mavic 2 Pro;762;10_13_33;11_49_18;9.21;;;
Bouamir;2023;1;5;DJI Mavic 2 Pro;576;09_28_47;11_04_47;6.26;;;
Bouamir;2023;1;20;DJI Mavic 2 Pro;594;14_09_00;15_54_22;6.89;;;
Bouamir;2023;2;6;DJI Mavic 2 Pro;788;10_11_38;11_47_01;9.5;;;
Bouamir;2023;2;20;DJI Mavic 2 Pro;791;09_29_00;11_15_07;8.12;;;
Bouamir;2023;3;5;DJI Mavic 2 Pro;794;14_44_30;16_31_46;8.73;;;
Bouamir;2023;3;22;DJI Mavic 2 Pro;793;09_08_44;11_04_24;9.43;;;
Bouamir;2023;4;5;DJI Mavic 2 Pro;559;09_06_51;15_47_11;7.45;;;
Bouamir;2023;4;20;DJI Mavic 2 Pro;552;14_25_11;16_03_33;6.97;;;
Bouamir;2023;5;6;DJI Mavic 2 Pro;854;13_41_32;12_29_28;10.72;;;
Bouamir;2023;5;30;DJI Mavic 2 Pro;1064;09_00_31;10_33_01;12.97;;;
Bouamir;2023;6;5;DJI Mavic 2 Pro;490;14_06_50;15_33_14;6.3;;;
Bouamir;2023;6;20;DJI Mavic 2 Pro;574;09_13_05;11_01_19;7.08;;;
Bouamir;2023;7;6;DJI Mavic 2 Pro;465;09_04_09;10_26_26;5.57;;;
Bouamir;2023;7;20;DJI Mavic 2 Pro;510;09_46_01;11_08_51;6.22;;;
Bouamir;2023;8;5;DJI Mavic 2 Pro;510;14_12_05;15_35_01;6.37;;;
Bouamir;2023;8;20;DJI Mavic 2 Pro;509;11_02_27;12_25_36;6.62;;;
Bouamir;2023;9;5;DJI Mavic 2 Pro;532;10_16_43;11_49_32;6.76;;;
Bouamir;2023;9;20;DJI Mavic 2 Pro;509;14_08_04;15_29_47;6.72;;;
Bouamir;2023;10;5;DJI Mavic 2 Pro;510;10_03_08;11_24_25;6.55;;;
Bouamir;2023;10;20;DJI Mavic 2 Pro;531;09_38_37;11_01_20;6.77;;;
Bouamir;2023;11;5;DJI Mavic 2 Pro;532;10_39_42;12_03_45;7;;;
Bouamir;2023;11;20;DJI Mavic 2 Pro;532;10_49_14;12_09_32;6.94;;;
Bouamir;2023;12;5;DJI Mavic 2 Pro;530;09_52_39;11_15_03;6.5;;;
Bouamir;2023;12;20;DJI Mavic 2 Pro;532;09_07_56;10_29_01;5.73;;;
Bouamir;2024;1;5;DJI Mavic 2 Pro;533;10_23_10;11_45_42;6.48;;;
Bouamir;2024;1;20;DJI Mavic 2 Pro;425;09_25_48;10_46_46;4.79;;;
Bouamir;2024;2;5;DJI Mavic 2 Pro;532;09_09_16;10_31_27;6.11;;;
Bouamir;2024;2;20;DJI Mavic 2 Pro;532;10_43_40;12_04_42;5.65;;;
Bouamir;2024;3;5;DJI Mavic 2 Pro;531;14_07_04;15_29_15;6.66;;;
Bouamir;2024;3;20;DJI Mavic 2 Pro;531;14_09_57;15_32_18;6.32;;;
Bouamir;2024;4;5;DJI Mavic 2 Pro;530;09_39_05;10_59_45;6.68;;;
Bouamir;2024;4;20;DJI Mavic 2 Pro;530;10_06_24;11_53_23;7.06;;;
Bouamir;2024;5;5;DJI Mavic 2 Pro;638;14_13_52;17_17_33;7.44;;;
Bouamir;2024;5;20;DJI Mavic 2 Pro;520;14_27_08;16_48_21;4.13;;;
Bouamir;2024;6;5;DJI Mavic 2 Pro;656;15_19_34;16_39_09;4.11;;;
Bouamir;2024;6;20;DJI Mavic 2 Pro;532;15_11_54;17_29_52;1.78;;;
Bouamir;2024;7;5;DJI Mavic 2 Pro;533;12_59_59;14_20_59;6.85;;;
Bouamir;2024;7;20;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69;;;
Bouamir;2024;8;5;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69;;;
Bouamir;2024;8;20;DJI Mavic 2 Pro;476;00_00_03;23_59_58;5.46;;;
Bouamir;2024;9;5;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69;;;
Bouamir;2024;9;20;DJI Mavic 2 Pro;407;02_10_56;03_16_04;5.14;;;
Bouamir;2024;10;5;DJI Mavic 2 Pro;604;09_51_21;11_24_01;7.51;;;
Bouamir;2024;10;20;DJI Mavic 2 Pro;530;08_31_37;09_59_17;6.44;;;
Bouamir;2024;11;5;DJI Mavic 2 Pro;407;02_10_56;03_16_04;5.14;;;
Bouamir;2024;11;20;DJI Mavic 2 Pro;476;00_00_03;23_59_58;5.46;;;
Bouamir;2024;12;5;DJI Mavic 2 Pro;476;00_00_03;23_59_58;5.46;;;
Loundoungou;2023;5;13;DJI Mavic 2 Pro;254;12_08_10;12_46_49;3.35;;;
