"locality_name";"plot_name";"date_Firstcensus";"date_Lastcensus";"number_of_census";"soil_analysis";"longitude";"latitude"
"Malebo";"117";NA;NA;NA;"no";16.3978934414617;-2.50485964779937
"Malebo";"123";NA;NA;NA;"no";16.4712042917397;-2.52160446874466
"Malebo";"148";NA;NA;NA;"no";16.4734547525427;-2.56131448578364
"Malebo";"151";NA;NA;NA;"no";16.5100537733723;-2.55127762272268
"Malebo";"162";NA;NA;NA;"no";16.5019066436595;-2.56688831029108
"Malebo";"166";NA;NA;NA;"no";16.4850577371267;-2.5859914411449
"Malebo";"180";NA;NA;NA;"no";16.4700177355524;-2.60602792696269
"Malebo";"184";NA;NA;NA;"no";16.4679125977122;-2.61750228945019
"Malebo";"189";NA;NA;NA;"no";16.4730677923383;-2.61458094528484
"Malebo";"190";NA;NA;NA;"no";16.4894139261141;-2.60302503283
"Malebo";"199";NA;NA;NA;"no";16.5123913916504;-2.64400808201036
"Malebo";"41";NA;NA;NA;"no";16.4381069147118;-2.47419194956227
"Malebo";"53";NA;NA;NA;"no";16.4204054043274;-2.47384423033566
"Malebo";"99";NA;NA;NA;"no";16.3952331854903;-2.52288396326186
"Malebo";"Fido";NA;NA;NA;"no";16.4866160561233;-2.60680082937594
"Malebo";"M2P1";NA;NA;NA;"no";16.5445687861728;-2.4651427839841
"Malebo";"M2P10";NA;NA;NA;"no";16.58256798784;-2.40759460932486
"Malebo";"M2P11";NA;NA;NA;"no";16.600728194334;-2.3837446198801
"Malebo";"M2P12";NA;NA;NA;"no";16.575025142534;-2.38272950420211
"Malebo";"M2P13";NA;NA;NA;"no";16.5907890540541;-2.40908804990092
"Malebo";"M2P14";NA;NA;NA;"no";16.5345996056336;-2.48029090929157
"Malebo";"M2P15";NA;NA;NA;"no";16.5292800833465;-2.46752923365273
"Malebo";"M2P16";NA;NA;NA;"no";16.5177067689307;-2.46139610822124
"Malebo";"M2P2";NA;NA;NA;"no";16.5532627625798;-2.4484092395814
"Malebo";"M2P3";NA;NA;NA;"no";16.5722303412918;-2.43766105689
