Bullet_point_name;Monitoring starting date;Monitoring area;RGB flight frequency;LiDAR flight frequency;Additional data;Principal institutions;Collaborators;logos;Latitude;Longitude
Paracou;October 2020;50 ha;Biweekly;Monthly;Sample plots , Delineated crowns (c. 2000) , RGB cameras (x 3) , Thermal camera , Flux tower (Guyaflux) ;ECOFOG lab, AMAP lab;Cambridge University;IRD, CIRAD, CEBA;5.27;-52.92
Mbalmayo;October 2022;250 ha;Biweekly;Monthly;Sample plots (14 x 1 ha) , Delneated crowns (c. 2500);ENEF, IRD;UY-I;MINFOF, ENEF, IRD, UY-I, labosyste;3.432979;11.44661
Somalomo;February 2025;600 ha;Biweekly;Opportunistic;UAV LiDAR , Sample plots (6 x 1 ha);MINFOF, IRD, CBI;Cary Institute, UY-I;MINFOF, IRD, CBI, Cary Institute, UY-I, labosyste;3.36;12.72
Bouamir;March 2022;300 ha;Biweekly;Annual;UAV LiDAR , Sample plots (8 x 1 ha) , Delineated crowns (c. 4500);MINFOF, IRD, CBI;UY-I;MINFOF, IRD, CBI, UY-I, labosyste;3.185815;12.80882
Loundoungou;May 2023;150 ha;Biweekly;Opportunistic;UAV LiDAR , Sample plots (2 x 18 ha) , Delineated crowns (c. 1500);CIB, IRD;USNG, CIRAD;CIB, IRD, USNG, CIRAD;2.377;17.068
Mabali;January 2026;;Biweekly;Annual;Sample plots (12 x 1 ha) ;CREF, Uliege;ERAIFT;CREF, Uliege, ERAIFT;-0.8872;18.1389
Luki;May 2023;;Biweekly;Annual;Sample plots (9 x 1 ha) , Crown delineation in progress…;INERA, Uliege;UGent, ERAIFT;INERA, Uliege, UGent, ERAIFT;-5.65;13.067
Yangambi;October 2023;;Biweekly;Annual;Sample plots (c. 30 ha) , Crown delineation in progress… , Flux tower;INERA, ULiege;UGent, ERAIFT;INERA, Uliege, UGent, ERAIFT;0.8;24.45
Cocoa-For-Flux Observatory;January 2026;80 ha;Biweekly;Opportunistic;Flux tower, Vegetation inventories (in progress…), Monthly UAV LiDAR (soon), Soil water profiles;CIRAD, IRAD;IRD;CIRAD, EcoSol, IRAD, IRD;4.46; 11.62
Rivière Bleue;September 2025;90 ha;Biweekly;Opportunistic;Sample plots (1 x 1 ha), Delineated crowns (in progress...);INRAE, IRD;Province Sud, PPRB;IRD, INRAE, Province Sud, PPRB;-22; 166.67
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
